122,Credit reporting credit repair services personal consumer reports,Incorrect information report,"ONLINE Information Services, Inc.",TN,38116,3236270
123,Debt collection,Attempts collect debt owed,Hillcrest Davidson & Assoc,PA,191XX,3236160
124,Credit reporting credit repair services personal consumer reports,Incorrect information report,ALLY FINANCIAL INC.,CA,91202,3235709
125,Debt collection,Written notification debt,Riverwalk Financial Corporation,OH,442XX,3235722
126,Debt collection,Written notification debt,"Associated Credit Services, Inc.",TX,79747,3236360
127,Debt collection,Communication tactics,"Diversified Consultants, Inc.",LA,704XX,3235462
128,Credit reporting credit repair services personal consumer reports,Incorrect information report,"EQUIFAX, INC.",FL,33436,3235509
129,Debt collection,Attempts collect debt owed,"GLA Collection Company, Inc.",IN,462XX,3235725
130,Credit reporting credit repair services personal consumer reports,Problem credit reporting compnys investigtion n existing problem,FIFTH THIRD FINANCIAL CORPORATION,NY,14221,3236063
132,Vehicle loan lease,Problem credit reporting compnys investigtion n existing problem,AMERICAN HONDA FINANCE CORP,RI,028XX,3236110
133,Debt collection,Attempts collect debt owed,"ProCollect, Inc",TX,775XX,3235529
134,Debt collection,Communication tactics,"Pendrick Capital Partners Holding, LLC",DC,200XX,3236057
135,Credit card prepaid card,Incorrect information report,Army and Air Force Exchange Service,CA,913XX,3235595
136,Debt collection,Attempts collect debt owed,"AMCOL Systems, Inc.",TX,782XX,3236342
137,Debt collection,False statements representation,"ASSET MANAGEMENT OUTSOURCING, INC.",VA,22031,3235963
139,Checking savings account,Closing account,U.S. BANCORP,MD,21117,3235783
140,Debt collection,Attempts collect debt owed,"Keynote Consulting, Inc.",CA,953XX,3235973
141,Payday loan title loan personal loan,Struggling pay loan,Ad Astra Recovery Services Inc,CA,92782,3236629
142,Vehicle loan lease,Managing loan lease,ALLY FINANCIAL INC.,NJ,08701,3235763
143,Debt collection,Took threatened take negative legal action,American Coradius International LLC,WA,98110,3236260
144,Debt collection,Written notification debt,"The CMI Group, Inc.",SC,297XX,3236542
145,Credit reporting credit repair services personal consumer reports,Improper use report,"EQUIFAX, INC.",MD,20785,3235471
