146,Mortgage,Trouble payment process,CARDINAL FINANCIAL COMPANY,IL,601XX,3234471
147,Debt collection,Attempts collect debt owed,NAVY FEDERAL CREDIT UNION,FL,33322,3234253
148,Credit reporting credit repair services personal consumer reports,Improper use report,"ONEMAIN FINANCIAL HOLDINGS, LLC.",PA,152XX,3234244
149,Credit reporting credit repair services personal consumer reports,Incorrect information report,"Convergent Resources, Inc.",GA,30328,3233798
150,Credit card prepaid card,Advertising marketing including promotional offers,AMERICAN EXPRESS COMPANY,IL,602XX,3234200
151,Money transfer virtual currency money service,Money available promised,PAYPAL HOLDINGS INC.,CT,063XX,3235143
153,Payday loan title loan personal loan,Problem payoff process end loan,NAVY FEDERAL CREDIT UNION,MS,39073,3234164
154,Debt collection,Attempts collect debt owed,"Sequium Asset Solutions, LLC",KS,672XX,3235429
155,Debt collection,Attempts collect debt owed,ALLY FINANCIAL INC.,NC,282XX,3234536
158,Debt collection,Communication tactics,"Maury Cobb, Attorney at Law, LLC",CA,924XX,3233668
159,Debt collection,Attempts collect debt owed,"Commonwealth Financial Systems, Inc.",TX,750XX,3235607
160,Credit reporting credit repair services personal consumer reports,Problem credit reporting compnys investigtion n existing problem,"Capital Accounts, LLC",TX,760XX,3235181
161,Mortgage,Struggling pay mortgage,OCWEN LOAN SERVICING LLC,DE,197XX,3234232
162,Debt collection,Attempts collect debt owed,"Stone Creek Financial, Inc",OH,432XX,3234998
163,Debt collection,Attempts collect debt owed,"Convergent Resources, Inc.",CT,06460,3234578
164,Debt collection,Attempts collect debt owed,SYNCHRONY FINANCIAL,CA,90221,3234900
165,Credit reporting credit repair services personal consumer reports,Incorrect information report,"Colony Brands, Inc.",WI,532XX,3234467
166,Credit reporting credit repair services personal consumer reports,Incorrect information report,"Diversified Consultants, Inc.",CT,064XX,3233672
167,Debt collection,Written notification debt,SYNCHRONY FINANCIAL,PR,009XX,3234885
168,Student loan,Dealing lender servicer,AES/PHEAA,PA,19026,3235328
169,Credit reporting credit repair services personal consumer reports,Incorrect information report,Rent Recovery Solutions,GA,30328,3234043
170,Debt collection,Took threatened take negative legal action,"Emmett L. Goodman, Jr., LLC",GA,312XX,3234802
