76,Credit reporting credit repair services personal consumer reports,Problem credit reporting compnys investigtion n existing problem,"EQUIFAX, INC.",CT,06514,3235583
77,Credit reporting credit repair services personal consumer reports,Incorrect information report,"EQUIFAX, INC.",NY,109XX,3235560
78,Debt collection,Attempts collect debt owed,Ad Astra Recovery Services Inc,TX,77055,3236263
79,Debt collection,Attempts collect debt owed,"Diversified Consultants, Inc.",TX,78043,3236189
80,Credit reporting credit repair services personal consumer reports,Problem credit reporting compnys investigtion n existing problem,"EQUIFAX, INC.",WA,983XX,3235513
81,Credit reporting credit repair services personal consumer reports,Incorrect information report,AMERICAN HONDA FINANCE CORP,CA,90025,3236078
82,Credit reporting credit repair services personal consumer reports,Unable get credit report credit score,"EQUIFAX, INC.",MI,48098,3235818
83,Credit reporting credit repair services personal consumer reports,Improper use report,"EQUIFAX, INC.",OH,43123,3235573
84,Credit reporting credit repair services personal consumer reports,Credit monitoring identity theft protection services,"EQUIFAX, INC.",FL,328XX,3235564
85,Credit reporting credit repair services personal consumer reports,Unable get credit report credit score,"EQUIFAX, INC.",NY,11801,3235480
86,Payday loan title loan personal loan,Struggling pay loan,NAVY FEDERAL CREDIT UNION,GA,30097,3236427
87,Checking savings account,Managing account,"Certegy Holdings, LLC",GA,31794,3235835
88,Mortgage,Trouble payment process,"BAYVIEW LOAN SERVICING, LLC",NY,14120,3235820
89,Mortgage,Struggling pay mortgage,PRIMARY RESIDENTIAL MORTGAGE,CA,92877,3236502
90,Debt collection,Attempts collect debt owed,Millco Management,PA,193XX,3235791
91,Credit reporting credit repair services personal consumer reports,Incorrect information report,"EQUIFAX, INC.",KY,40220,3235924
92,Debt collection,Attempts collect debt owed,"Illinois Collection Service, Inc.",IL,60623,3236364
93,Mortgage,Applying mortgge refinncing existing mortgge,ALLY FINANCIAL INC.,CA,94565,3237406
94,Payday loan title loan personal loan,Charged fees interest didnt expect,NAVY FEDERAL CREDIT UNION,VA,23831,3236287
96,Credit reporting credit repair services personal consumer reports,Incorrect information report,"Byrider Franchising, LLC",IL,604XX,3235991
97,Debt collection,Attempts collect debt owed,Ad Astra Recovery Services Inc,TX,76712,3236213
98,Credit reporting credit repair services personal consumer reports,Improper use report,"EQUIFAX, INC.",GA,302XX,3235494
