0,Checking savings account,Managing account,NAVY FEDERAL CREDIT UNION,FL,328XX,3238275
1,Checking savings account,Managing account,BOEING EMPLOYEES CREDIT UNION,WA,98204,3238228
2,Debt collection,Communication tactics,CURO Intermediate Holdings,TX,751XX,3237964
3,Credit reporting credit repair services personal consumer reports,Incorrect information report,Ad Astra Recovery Services Inc,LA,708XX,3238479
4,Checking savings account,Managing account,ALLY FINANCIAL INC.,AZ,85205,3238460
5,Mortgage,Closing mortgge,Statebridge Company,NJ,08302,3237885
7,Student loan,Struggling repay loan,Student Loan Direct,TX,773XX,3238221
8,Debt collection,Attempts collect debt owed,"Diversified Consultants, Inc.",SC,296XX,3238545
9,Credit reporting credit repair services personal consumer reports,Incorrect information report,CONTRACT CALLERS INC,MD,20774,3238458
10,Vehicle loan lease,Struggling pay loan,ALLY FINANCIAL INC.,NV,891XX,3238036
11,Debt collection,False statements representation,MiraMed Revenue Group LLC,VA,23156,3237941
13,Debt collection,False statements representation,"Commonwealth Financial Systems, Inc.",TX,774XX,3237971
14,Credit reporting credit repair services personal consumer reports,Problem credit reporting compnys investigtion n existing problem,ALLY FINANCIAL INC.,TX,774XX,3237837
15,Debt collection,Took threatened take negative legal action,NAVY FEDERAL CREDIT UNION,FL,346XX,3237928
16,Debt collection,Communication tactics,"MERCANTILE ADJUSTMENT BUREAU, LLC",NY,14609,3238682
17,Debt collection,Attempts collect debt owed,"HCFS Health Care Financial Services, Inc.",AZ,852XX,3237088
19,Checking savings account,Managing account,ALLY FINANCIAL INC.,CO,81302,3237160
20,Debt collection,False statements representation,"Diversified Consultants, Inc.",NJ,087XX,3236983
21,Debt collection,False statements representation,ALLY FINANCIAL INC.,MI,48185,3237404
22,Debt collection,Written notification debt,"Weltman, Weinberg & Reis Co., L.P.A.",OH,432XX,3236857
23,Debt collection,Threatened contact someone share information improperly,"CASHCALL, INC.",CA,944XX,3236737
24,Debt collection,Attempts collect debt owed,"Ability Recovery Services, LLC",NC,28216,3237833
25,Credit reporting credit repair services personal consumer reports,Incorrect information report,NISSAN MOTOR ACCEPTANCE CORPORATION,TX,797XX,3237655
26,Credit reporting credit repair services personal consumer reports,Improper use report,FIRST ADVANTAGE CORPORATION,UT,84401,3237100
27,Debt collection,Written notification debt,"Midwest Fidelity Services, LLC",IL,60025,3237425
28,Debt collection,Attempts collect debt owed,"HCFS Health Care Financial Services, Inc.",FL,33056,3236953
29,Debt collection,Written notification debt,NICHOLAS FINANCIAL INC.,FL,338XX,3237247
30,Debt collection,Attempts collect debt owed,"SFS, Inc",NC,28752,3236773
31,Debt collection,Took threatened take negative legal action,CURO Intermediate Holdings,ME,04042,3237657
32,Credit reporting credit repair services personal consumer reports,Incorrect information report,"Diversified Consultants, Inc.",FL,328XX,3237831
33,Debt collection,Attempts collect debt owed,Ad Astra Recovery Services Inc,OR,972XX,3237515
34,Mortgage,Closing mortgge,"QUICKEN LOANS, INC.",NJ,08619,3237320
35,Credit reporting credit repair services personal consumer reports,Incorrect information report,"The CMI Group, Inc.",SC,297XX,3237630
36,Debt collection,Written notification debt,"NCC Business Services, Inc.",NY,132XX,3236839
37,Debt collection,Attempts collect debt owed,Sequoia Financial Services,CA,91205,3237250
38,Debt collection,Attempts collect debt owed,"USCB, INC.",AZ,85713,3236808
40,Credit reporting credit repair services personal consumer reports,Incorrect information report,"EQUIFAX, INC.",NC,276XX,3236855
41,Debt collection,Communication tactics,ERC,NC,280XX,3237137
43,Mortgage,Trouble payment process,"CITIBANK, N.A.",NJ,07735,3237284
45,Vehicle loan lease,Problems end loan lease,ALLY FINANCIAL INC.,TX,750XX,3236888
47,Vehicle loan lease,Incorrect information report,NAVY FEDERAL CREDIT UNION,VA,235XX,3237300
48,Debt collection,Attempts collect debt owed,"Convergent Resources, Inc.",MI,48162,3237758
49,Debt collection,Communication tactics,"McCarthy, Burgess & Wolff, Inc.",TX,782XX,3237483
50,Credit card prepaid card,Fees interest,NAVY FEDERAL CREDIT UNION,WI,546XX,3237779
51,Debt collection,Written notification debt,GETM INCORPORATED,CA,924XX,3236826
53,Debt collection,Written notification debt,Ad Astra Recovery Services Inc,TX,777XX,3237308
54,Checking savings account,Problem lender compny chrging ccount,NAVY FEDERAL CREDIT UNION,MD,207XX,3237252
55,Credit reporting credit repair services personal consumer reports,Incorrect information report,"EQUIFAX, INC.",CA,949XX,3236867
